# Incoming morph	analyses	stem part	continuations...	#<- HEADERS
V_BACK_POTENTIAL_N	Vact|Cnut|Npl	{MB}nee{MB}t	#
V_BACK_POTENTIAL_N	Vact|Cnut|Npl|Uarch	{MB}nehe{MB}t	#
V_BACK_POTENTIAL_N	Vact|Cnut|Nsg	{MB}nut	#
V_BACK_POTENTIAL_N	Vact|Cnut|Nsg|Udial	{MB}nu	#
V_BACK_POTENTIAL_N	Vact|Tpast|Npl|Ncon	{MB}nee{MB}t	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_N	Vact|Tpast|Npl|Ncon|Uarch	{MB}nehe{MB}t	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_N	Vact|Tpast|Nsg|Ncon	{MB}nut	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_N	Vact|Tpast|Nsg|Ncon|Udial	{MB}nu	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_N	Vact|Tpot|Ncon	{MB}ne{MB}	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_N	Vact|Tpot|Ppl1	{MB}ne{MB}mme	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_N	Vact|Tpot|Ppl2	{MB}ne{MB}tte	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_N	Vact|Tpot|Ppl3	{MB}ne{MB}vat	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_N	Vact|Tpot|Psg1	{MB}ne{MB}n	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_N	Vact|Tpot|Psg2	{MB}ne{MB}t	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_N	Vact|Tpot|Psg3	{MB}ne{MB}e	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_R	Dnut	{DB}r	A_KULUNUT
V_BACK_POTENTIAL_R	Vact|Cnut|Npl	{MB}ree{MB}t	#
V_BACK_POTENTIAL_R	Vact|Cnut|Npl|Uarch	{MB}rehe{MB}t	#
V_BACK_POTENTIAL_R	Vact|Cnut|Nsg	{MB}rut	#
V_BACK_POTENTIAL_R	Vact|Cnut|Nsg|Udial	{MB}ru	#
V_BACK_POTENTIAL_R	Vact|Tpast|Npl|Ncon	{MB}ree{MB}t	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_R	Vact|Tpast|Npl|Ncon|Uarch	{MB}rehe{MB}t	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_R	Vact|Tpast|Nsg|Ncon	{MB}rut	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_R	Vact|Tpast|Nsg|Ncon|Udial	{MB}ru	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_R	Vact|Tpot|Ncon	{MB}re	V_BACK_CLIT_KIN_KAAN_OPT
