new_para	lemma	stuff	gloss
A_MARTO	martoihin	marto|ADJECTIVE|Npl|Xill	
A_MARTO	marroista	marto|ADJECTIVE|Npl|Xela	
A_MARTO	marrompi	marto|ADJECTIVE|Ccmp|Nsg|Xnom	
A_MARTO	marroin	marto|ADJECTIVE|Csup|Nsg|Xnom	
A_PURTU	purtu	purtu|ADJECTIVE|Nsg|Xnom	bitten 
A_PURTU	purrussa	purtu|ADJECTIVE|Nsg|Xine	
A_PURTU	purtuihin	purtu|ADJECTIVE|Npl|Xill	
A_PURTU	purruista	purtu|ADJECTIVE|Npl|Xela	
A_PURTU	purrumpi	purtu|ADJECTIVE|Ccmp|Nsg|Xnom	
A_PURTU	purruin	purtu|ADJECTIVE|Csup|Nsg|Xnom	
A_PIERTY	pierty	pierty|ADJECTIVE|Nsg|Xnom	befarted 
A_PIERTY	pierryssä	pierty|ADJECTIVE|Nsg|Xine	
A_PIERTY	piertyihin	pierty|ADJECTIVE|Npl|Xill	
A_PIERTY	pierryistä	pierty|ADJECTIVE|Npl|Xela	
A_PIERTY	pierrympi	pierty|ADJECTIVE|Ccmp|Nsg|Xnom	
A_PIERTY	pierryin	pierty|ADJECTIVE|Csup|Nsg|Xnom	
A_HUPAKKO	hupakko	hupakko|ADJECTIVE|Nsg|Xnom	silly girl 
A_HUPAKKO	hupakoihin	hupakko|ADJECTIVE|Npl|Xill	
A_HUPAKKO	hupakkoihin	hupakko|ADJECTIVE|Npl|Xill	
A_HUPAKKO	hupakompi	hupakko|ADJECTIVE|Ccmp|Nsg|Xnom	
A_HUPAKKO	hupakoin	hupakko|ADJECTIVE|Csup|Nsg|Xnom	
A_ABNORMI	abnormi	abnormi|ADJECTIVE|Nsg|Xnom	abnorm 
A_ABNORMI	abnormeina	abnormi|ADJECTIVE|Npl|Xess	
A_ABNORMI	abnormien	abnormi|ADJECTIVE|Npl|Xgen	
A_ABNORMI	abnormimpi	abnormi|ADJECTIVE|Ccmp|Nsg|Xnom	
A_ABNORMI	abnormein	abnormi|ADJECTIVE|Csup|Nsg|Xnom	
A_STYDI	stydi	stydi|ADJECTIVE|Nsg|Xnom	stiff 
A_STYDI	stydeinä	stydi|ADJECTIVE|Npl|Xess	
A_STYDI	stydien	stydi|ADJECTIVE|Npl|Xgen	
A_STYDI	stydimpi	stydi|ADJECTIVE|Ccmp|Nsg|Xnom	
A_STYDI	stydein	stydi|ADJECTIVE|Csup|Nsg|Xnom	
A_OPAAKKI	opaakki	opaakki|ADJECTIVE|Nsg|Xnom	opaque 
A_OPAAKKI	opaakissa	opaakki|ADJECTIVE|Nsg|Xine	
A_OPAAKKI	opaakkeina	opaakki|ADJECTIVE|Npl|Xess	
A_OPAAKKI	opaakeista	opaakki|ADJECTIVE|Npl|Xela	
A_OPAAKKI	opaakkien	opaakki|ADJECTIVE|Npl|Xgen	
A_OPAAKKI	opaakimpi	opaakki|ADJECTIVE|Ccmp|Nsg|Xnom	
A_OPAAKKI	opaakein	opaakki|ADJECTIVE|Csup|Nsg|Xnom	
A_PINKKI	pinkki	pinkki|ADJECTIVE|Nsg|Xnom	pink 
A_PINKKI	pinkissä	pinkki|ADJECTIVE|Nsg|Xine	
A_PINKKI	pinkkeinä	pinkki|ADJECTIVE|Npl|Xess	
A_PINKKI	pinkeistä	pinkki|ADJECTIVE|Npl|Xela	
A_PINKKI	pinkkien	pinkki|ADJECTIVE|Npl|Xgen	
A_PINKKI	pinkimpi	pinkki|ADJECTIVE|Ccmp|Nsg|Xnom	
A_PINKKI	pinkein	pinkki|ADJECTIVE|Csup|Nsg|Xnom	
A_SIPPI	sippi	sippi|ADJECTIVE|Nsg|Xnom	bust 
A_SIPPI	sipissä	sippi|ADJECTIVE|Nsg|Xine	
A_SIPPI	sippeinä	sippi|ADJECTIVE|Npl|Xess	
A_SIPPI	sipeistä	sippi|ADJECTIVE|Npl|Xela	
A_SIPPI	sippien	sippi|ADJECTIVE|Npl|Xgen	
A_SIPPI	sipimpi	sippi|ADJECTIVE|Ccmp|Nsg|Xnom	
A_SIPPI	sipein	sippi|ADJECTIVE|Csup|Nsg|Xnom	
A_HURTTI	hurtti	hurtti|ADJECTIVE|Nsg|Xnom	grunchy 
A_HURTTI	hurtissa	hurtti|ADJECTIVE|Nsg|Xine	
A_HURTTI	hurtteina	hurtti|ADJECTIVE|Npl|Xess	
A_HURTTI	hurteista	hurtti|ADJECTIVE|Npl|Xela	
A_HURTTI	hurttien	hurtti|ADJECTIVE|Npl|Xgen	
A_HURTTI	hurtimpi	hurtti|ADJECTIVE|Ccmp|Nsg|Xnom	
A_HURTTI	hurtein	hurtti|ADJECTIVE|Csup|Nsg|Xnom	
A_VÄÄRTTI	väärtti	väärtti|ADJECTIVE|Nsg|Xnom	worthy 
A_VÄÄRTTI	väärtissä	väärtti|ADJECTIVE|Nsg|Xine	
A_VÄÄRTTI	väärtteinä	väärtti|ADJECTIVE|Npl|Xess	
A_VÄÄRTTI	väärteistä	väärtti|ADJECTIVE|Npl|Xela	
A_VÄÄRTTI	väärttien	väärtti|ADJECTIVE|Npl|Xgen	
A_VÄÄRTTI	väärtimpi	väärtti|ADJECTIVE|Ccmp|Nsg|Xnom	
A_VÄÄRTTI	väärtein	väärtti|ADJECTIVE|Csup|Nsg|Xnom	
A_TUHTI	tuhti	tuhti|ADJECTIVE|Nsg|Xnom	stocky 
A_TUHTI	tuhdissa	tuhti|ADJECTIVE|Nsg|Xine	
A_TUHTI	tuhteina	tuhti|ADJECTIVE|Npl|Xess	
A_TUHTI	tuhdeista	tuhti|ADJECTIVE|Npl|Xela	
A_TUHTI	tuhtien	tuhti|ADJECTIVE|Npl|Xgen	
A_TUHTI	tuhdimpi	tuhti|ADJECTIVE|Ccmp|Nsg|Xnom	
A_TUHTI	tuhdein	tuhti|ADJECTIVE|Csup|Nsg|Xnom	
A_REHTI	rehti	rehti|ADJECTIVE|Nsg|Xnom	
A_REHTI	rehdissä	rehti|ADJECTIVE|Nsg|Xine	
A_REHTI	rehteinä	rehti|ADJECTIVE|Npl|Xess	
A_REHTI	rehdeistä	rehti|ADJECTIVE|Npl|Xela	
A_REHTI	rehtien	rehti|ADJECTIVE|Npl|Xgen	
A_REHTI	rehdimpi	rehti|ADJECTIVE|Ccmp|Nsg|Xnom	
A_REHTI	rehdein	rehti|ADJECTIVE|Csup|Nsg|Xnom	
A_ABNORMAALI	abnormaali	abnormaali|ADJECTIVE|Nsg|Xnom	abnormal 
A_ABNORMAALI	abnormaaleja	abnormaali|ADJECTIVE|Npl|Xpar	
A_ABNORMAALI	abnormaaleiden	abnormaali|ADJECTIVE|Npl|Xgen	
A_ABNORMAALI	abnormaalimpi	abnormaali|ADJECTIVE|Ccmp|Nsg|Xnom	
A_ABNORMAALI	abnormaalein	abnormaali|ADJECTIVE|Csup|Nsg|Xnom	
A_ÖYKKÄRI	öykkäri	öykkäri|ADJECTIVE|Nsg|Xnom	chav 
