new_para	suffix_regex
NOUN_POHATTA	tta
NOUN_POHJE	je
NOUN_POIKA	oika
NOUN_POIUT	ut
NOUN_POJAT	ojat
NOUN_PÖKSYT	yt
NOUN_PÖLHÄÄT	äät
NOUN_POLITIIKKA	kka
NOUN_POLJIN	jin
NOUN_PÖLLÖT	öt
NOUN_PONSI	nsi
NOUN_PÖNTTÖ	ttö
NOUN_PORRAS	rras
NOUN_PORTAAT	rtaat
NOUN_PÖYTÄ	tä
NOUN_PROBLEEMA	a
NOUN_PUHELIN	n
NOUN_PUIN	in
NOUN_PUKIMET	kimet
NOUN_PUNK
NOUN_PUUT	uut
NOUN_PUU	u
NOUN_PYHTÄÄ	ää
NOUN_PYTTY	tty
NOUN_PYYHE	e
NOUN_PYYHIN	in
NOUN_PYYT	yyt
NOUN_PYY	yy
NOUN_RAAVIN	vin
NOUN_RAGUU	uu
NOUN_RÄJÄYTYS	s
NOUN_RAKENNE	ne
NOUN_RÄMEÄT	eät
NOUN_RÄMEET	eet
NOUN_RÄMIÄT	ät
NOUN_RAMPA	mpa
NOUN_RANGAT	ngat
NOUN_RANNAT	nnat
NOUN_RAPPE	ppe
NOUN_RAPPUSET	set
NOUN_RAPUT	put
NOUN_RATAS	tas
NOUN_RATTAAT	ttaat
NOUN_RAUDAT	dat
NOUN_RAUNIOT	ot
NOUN_RAVET	et
NOUN_RAVUT	vut
NOUN_REGGAE
NOUN_REIÄT	ät
NOUN_REIKÄ	kä
NOUN_RENKAAT	kaat
NOUN_RIIPI	pi
NOUN_RIIVET	vet
NOUN_RIMMI	mpi
NOUN_RIMMIT	mmit
NOUN_RIMPI	mpi
NOUN_RINNET	nnet
NOUN_RINTEET	nteet
NOUN_RIPE	pe
NOUN_RIPSET	et
NOUN_RIUTAT	tat
NOUN_ROHTIMET	timet
NOUN_ROITOT	tot
NOUN_ROMPAAT	paat
NOUN_ROSÉ
NOUN_ROTAT	tat
NOUN_ROTTA	tta
NOUN_RUIPELO	o
NOUN_RUIS	is
NOUN_RUMPU	mpu
NOUN_RUNKO	nko
NOUN_RUOKA	uoka
NOUN_RUOKO	oko
NOUN_RUOPPAAT	ppaat
NOUN_RUUHI	i
NOUN_RUUMIS	is
NOUN_RUUVI	i
NOUN_RYNNÄS	nnäs
NOUN_RYNTÄÄT	täät
NOUN_RYNTTYYT	ttyyt
NOUN_RYPÄS	päs
NOUN_RYYPPY	ppy
NOUN_SÄÄDIN	din
NOUN_SÄÄNNÖT	nnöt
NOUN_SAAPAS	pas
NOUN_SAARET	et
NOUN_SÄÄRET	et
NOUN_SÄEN	en
NOUN_SAKSET	et
NOUN_SALONTEET	nteet
NOUN_SALPA	pa
NOUN_SAMMALET	et
NOUN_SAMPI	mpi
NOUN_SAMPO	mpo
NOUN_SANKARI	i
NOUN_SÄNKY	nky
NOUN_SÄRKÄT	kät
NOUN_SÄRVIN	vin
NOUN_SEIKKAILU	u
NOUN_SEIVÄS	väs
NOUN_SELENE
NOUN_SELJÄT	jät
NOUN_SEPPÄ	ppä
NOUN_SERGEJ	j
NOUN_SERKUKSET	kset
NOUN_SHOW
NOUN_SIEMEN
NOUN_SIIRTO	rto
NOUN_SIIVILÄ	ä
NOUN_SILAKAT	kat
NOUN_SILMÄKKEET	keet
NOUN_SISÄLTÖ	ltö
NOUN_SIUNAAMATTOMAT	ttomat
