new_para	deletion
V_LEUDOTA	dota
V_LEVÄTÄ	vätä
V_LIIDUTA	duta
V_LOBATA	ata
V_LOITOTA	ota
V_LOPPUA	pua
V_LOTOTA	ota
V_LUNTATA	ata
V_LUUTUTA	uta
V_LÄHTEÄ	hteä
V_LÄMMETÄ	metä
V_LÄMMITÄ	mitä
V_LÄNTÄTÄ	ätä
V_MARISTA	ta
V_MAUKUA	kua
V_MELLAKOIDA	ida
V_MENNÄ	nnä
V_MERKITÄ	tä
V_MIELTYÄ	tyä
V_MIETTIÄ	tiä
V_MOITTIA	tia
V_MOJAHTAA	taa
V_MORKATA	ata
V_MULLATA	lata
V_MUODOTA	dota
V_MUTRISTAA	aa
V_MYYDÄ	ydä
V_MÄDÄTÄ	dätä
V_MÄIKYÄ	kyä
V_MÖNKIÄ	kiä
V_NAKELLA	ella
V_NAKERRELLA	rella
V_NIUKETA	eta
V_NUOKKUA	kua
V_NÄHDÄ	hdä
V_NÄPERTÄÄ	tää
V_OLLA	olla
V_OMMELLA	mella
V_ONKIA	kia
V_PALKITA	ta
V_PANNA	nna
V_PEITOTA	ota
V_PENKOA	koa
V_PIDETÄ	detä
V_PIERRÄ	rä
V_PIESTÄ	stä
V_PINGOTA	gota
V_POIKETA	eta
V_POLKEA	kea
V_PUKEA	kea
V_PULPUTA	uta
V_PUNOA	a
V_PURKAA	kaa
V_PUSERTUA	tua
V_PYYTÄÄ	tää
V_PÄTEÄ	teä
V_RAAPIA	pia
V_RAIKAA	a
V_RANGAISTA	gaista
V_RENNOTA	nota
V_REVETÄ	vetä
V_RIIPIÄ	piä
V_ROHJETA	jeta
V_ROHTUA	tua
V_RYNNÄTÄ	nätä
V_RYPEÄ	peä
V_RYSKIÄ	iä
V_RYÖPYTÄ	ytä
V_RÄPSYTTÄÄ	tää
V_SAADA	ada
V_SAARTAA	taa
V_SAMMOTA	mota
V_SATAA	taa
V_SELVITÄ	tä
V_SIEPATA	ata
V_SILIYTYÄ	tyä
V_SILPOA	poa
V_SIVALTAA	taa
V_SORTAA	taa
V_SOTKEA	ea
V_SULATELLA	ella
V_SUPETA	eta
V_SURRA	ra
V_SUUNNATA	ata
V_SYÖDÄ	yödä
V_SYÖPYÄ	pyä
V_SÄILÖÄ	ä
V_SÄPSÄHDELLÄ	dellä
V_SÄRKEÄ	keä
V_SÖRKKIÄ	kiä
V_TAITAA	taa
V_TAKOA	koa
V_TAPELLA	ella
V_TAPPAA	paa
V_TEMMATA	mata
V_TEMPOA	poa
V_TIETÄÄ	tää
V_TIPAHDELLA	della
V_TODETA	deta
V_TUIKKAA	kaa
V_TULLA	lla
V_TUNGETA	geta
V_TUNKEA	kea
V_TUNTEA	tea
V_TUODA	uoda
V_TYHJENTYÄ	tyä
V_TYLPETÄ	etä
V_TYMPIÄ	piä
V_TÄHDÄTÄ	dätä
V_TÄHYTÄ	tä
V_ULOTA	ota
V_UPOTA	ota
V_VAAHDOTA	dota
V_VAELLELLA	lella
V_VAKAANTUA	tua
V_VARTOA	toa
V_VAVISTA	vista
V_VERRATA	rata
V_VIEDÄ	iedä
V_VIEROITTAA	taa
V_VIHELTÄÄ	tää
V_VIITTOA	toa
V_VINKUA	kua
V_VIPAJAA	aa
V_VIRKKAA	kaa
V_VONGATA	gata
V_VYYHDETÄ	detä
V_VÄHETÄ	tä
V_VÄLPÄTÄ	ätä
V_VÄNGÄTÄ	gätä
V_YLTÄÄ	tää
V_YNNÄTÄ	tä
V_YSKÄHTÄÄ	tää
V_YÖKÄTÄ	ätä
V_ÄHKÄÄ	ä
V_ÄKSYILLÄ	lä
V_ÄLLISTYÄ	ä
V_ÄNGETÄ	getä
V_ÄRISTÄ	tä
V_ÖYKKÄRÖIDÄ	idä
SYMBOL_PISTE	
SYMBOL_PILKKU	
PUNCT_NONSTD_EXCL_LOOP	
ACRO_AA	
ACRO_CELSIUS	
ACRO_DOLLARI	
ACRO_EE	
ACRO_EURO	
ACRO_GRAMMA	
ACRO_GRAY	
ACRO_II	
ACRO_JOULE	
ACRO_JÄRJESTÖ	
ACRO_KAHDEKSAN	
ACRO_KAKSI	
ACRO_KANDELA	
ACRO_KOLMAS	
ACRO_KOLME	
ACRO_KUUSI	
ACRO_LEHTI	
ACRO_LUSIKKA	
ACRO_METRI	
ACRO_NELJÄ	
#ACRO_NELJÄS	
ACRO_NOLLA	
ACRO_OHMI	
ACRO_OIKEUS	
ACRO_OK	
ACRO_OO	
ACRO_OPISTO	
ACRO_OPPILAS	
ACRO_PUNTA	
ACRO_PYKÄLÄ	
ACRO_SAIRAALA	
ACRO_SEITSEMÄN	
ACRO_SENTTI	
ACRO_TALO	
ACRO_TUOTE	
ACRO_UU	
ACRO_VIISI	
ACRO_VUOSI	
ACRO_WEBER	
ACRO_YHDEKSÄN	
ACRO_YHDISTYS	
ACRO_YKSI	
ACRO_YY	
ACRO_ZET	
ACRO_ÄKS	
ACRO_ÄÄ	
ACRO_ÖÖ	
PCLE_AIKANSA	
PCLE_ALLE	
