new_para	upos	pos	kotus_tn	kotus_av	plurale_tantum	grade_dir	harmony	stem_vowel	stem_diphthong	possessive	clitics
ADJ_VAPAA	ADJ	ADJECTIVE	17	None	False	weaken	back	a	None	False	False
ADJ_VASEN	ADJ	ADJECTIVE	37	None	False	strengthen	back	None	None	False	False
ADJ_VELTTO	ADJ	ADJECTIVE	1	C	False	weaken	back	None	None	False	False
ADJ_VENTO	ADJ	ADJECTIVE	1	J	False	weaken	back	None	None	False	False
ADJ_VIATON	ADJ	ADJECTIVE	34	C	False	strengthen	back	None	None	False	False
ADJ_VIHANTA	ADJ	ADJECTIVE	9	J	False	weaken	back	a	None	False	False
ADJ_VIHERIÄ	ADJ	ADJECTIVE	15	None	False	weaken	front	ä	None	False	False
ADJ_VIIPALOITU	ADJ	ADJECTIVE	1	F	False	weaken	back	None	None	False	False
ADJ_VIMMATTU	ADJ	ADJECTIVE	1	C	False	weaken	back	None	None	False	False
ADJ_VIRKKU	ADJ	ADJECTIVE	1	A	False	weaken	back	None	None	False	False
ADJ_VOIMAKAS	ADJ	ADJECTIVE	41	A	False	strengthen	back	None	None	False	False
ADJ_VOIPA	ADJ	ADJECTIVE	10	E	False	weaken	back	a	None	False	False
ADJ_VÄHÄTELTY	ADJ	ADJECTIVE	1	I	False	weaken	front	None	None	False	False
ADJ_VÄNKÄ	ADJ	ADJECTIVE	10	G	False	weaken	front	ä	None	False	False
ADJ_VÄÄRTTI	ADJ	ADJECTIVE	5	C	False	weaken	front	None	None	False	False
ADJ_YKSILÖITY	ADJ	ADJECTIVE	1	F	False	weaken	front	None	None	False	False
ADJ_YLENNETTY	ADJ	ADJECTIVE	1	C	False	weaken	front	None	None	False	False
ADJ_ÄLLISTYNYT	ADJ	ADJECTIVE	47	None	False	strengthen	front	y	None	False	False
ADJ_ÖYKKÄRI	ADJ	ADJECTIVE	6	None	False	weaken	front	None	None	False	False
ADP_ALLA	ADP	PARTICLE	99	None	False	False	back	None	None	optional	True
ADP_ALLE	ADP	PARTICLE	99	None	False	False	back	None	None	optional	True
ADP_HYVILLÄÄN	ADP	PARTICLE	99	None	False	False	front	None	None	obligatory	True
ADP_ILKOSILLAAN	ADP	PARTICLE	99	None	False	False	back	None	None	obligatory	True
ADP_ISTUALLEEN	ADP	PARTICLE	99	None	False	False	back	None	None	obligatory	True
ADP_KOTONA	ADP	PARTICLE	99	None	False	False	back	None	None	optional	True
ADP_LISÄKSI	ADP	PARTICLE	99	None	False	False	front	None	None	optional	True
ADP_LÄHELLÄ	ADP	PARTICLE	99	None	False	False	front	None	None	optional	True
ADP_MUKAAN	ADP	PARTICLE	99	None	False	False	back	None	None	optional	True
ADP_MUKAISESTI	ADP	PARTICLE	99	None	False	False	back	None	None	optional	True
ADP_NÄHDEN	ADP	PARTICLE	99	None	False	False	front	None	None	optional	True
ADP_NÄKYVIIN	ADP	PARTICLE	99	None	False	False	front	None	None	optional	True
ADP_TYKÖ	ADP	PARTICLE	99	None	False	False	front	None	None	optional	True
ADP_VALTAAN	ADP	PARTICLE	99	None	False	False	back	None	None	optional	True
ADP_VUOKSI	ADP	PARTICLE	99	None	False	False	back	None	None	optional	True
ADP_YLLE	ADP	PARTICLE	99	None	False	False	front	None	None	optional	True
ADV_AIKANSA	ADV	PARTICLE	99	None	False	False	back	None	None	obligatory	True
ADV_IKINÄ	ADV	PARTICLE	99	None	False	False	front	None	None	optional	False
ADV_JO	ADV	PARTICLE	99	None	False	False	back	None	None	False	False
ADV_JONNE	ADV	PARTICLE	99	None	False	False	back	None	None	False	False
ADV_KUHUN	ADV	PARTICLE	99	None	False	False	back	None	None	False	True
ADV_LEVÄLLEEN	ADV	PARTICLE	99	None	False	False	front	None	None	obligatory	True
ADV_MITEN	ADV	PARTICLE	99	None	False	False	front	None	None	False	True
ADV_NOPEASTI	ADV	PARTICLE	99	None	False	False	back	None	None	False	True
ADV_TYHMÄSTI	ADV	PARTICLE	99	None	False	False	front	None	None	False	True
ADV_VAAN	ADV	PARTICLE	99	None	False	False	back	None	None	False	False
ADV_YLIPÄÄNSÄ	ADV	PARTICLE	99	None	False	False	front	None	None	obligatory	True
AUX_AIKOA	AUX	VERB	52	D	False	weaken	back	None	None	False	False
AUX_JOUTUA	AUX	VERB	52	F	False	weaken	back	None	None	False	False
AUX_MAHTAA	AUX	VERB	56	F	False	weaken	back	None	None	False	False
AUX_OLLA	AUX	VERB	1067	None	False	weaken	back	None	None	False	False
AUX_PITÄÄ	AUX	VERB	53	F	False	weaken	front	None	None	False	False
AUX_SAATTAA	AUX	VERB	56	C	False	weaken	back	None	None	False	False
AUX_TAITAA	AUX	VERB	76	F	False	weaken	back	None	None	False	False
AUX_TARVITA	AUX	VERB	69	None	False	strengthen	back	None	None	False	False
AUX_TÄYTYÄ	AUX	VERB	52	F	False	weaken	front	None	None	False	False
AUX_VOIDA	AUX	VERB	62	None	False	strengthen	back	None	None	False	False
CCONJ_JA	CCONJ	PARTICLE	99	None	False	False	front	None	None	False	False
DET_SE	DET	PRONOUN	101	None	False	False	front	None	None	False	False
DET_YKSI	DET	PRONOUN	31	None	False	weaken	front	None	None	False	False
INTJ_HAH	INTJ	PARTICLE	99	None	False	False	back	None	None	False	False
INTJ_OO	INTJ	PARTICLE	99	None	False	False	back	None	None	False	False
NOUN_51aavameri	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51hienosokeri	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isojako	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isokoskelo	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isokuovi	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isokäpylintu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isolepinkäinen	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isolokki	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isomaksaruoho	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isomasto	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isopanda	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isopistooli	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isopurje	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isorokko	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isorumpu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isosisar	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isosisko	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isotaivot	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isovarvas	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isoveli	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51isoviha	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51karkearehu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51kevytsarja	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51kirjavapillike	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51kuivakakku	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51kuivakukka	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51kuivamuona	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51kuivapaino	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51kuivapari	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51kuivarehu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51kultainennoutaja	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51laiskakoira	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51lämminruoka	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51lämminvarasto	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51lämminvaunu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51matalameri	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51mustaherukka	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51mustaleipä	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51mustaleski	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
