lemma	homonym	argument
denormalisoida	1	intransitive
deoksidoida	1	intransitive
depigmentoida	1	intransitive
depolarisoida	1	intransitive
depolaroida	1	intransitive
deponoida	1	intransitive
derivoida	1	intransitive
desegregoida	1	intransitive
desentralisoida	1	intransitive
desinfektoida	1	intransitive
desinfioida	1	intransitive
desinvestoida	1	intransitive
desorboida	1	intransitive
desorboitua	1	intransitive
destabiloida	1	intransitive
destalinisoida	1	intransitive
detektoida	1	intransitive
determinisoida	1	intransitive
determinoida	1	intransitive
detonoida	1	intransitive
devalvoida	1	intransitive
devalvoitua	1	intransitive
diagnosoida	1	intransitive
diagnostisoida	1	intransitive
diagonalisoida	1	intransitive
dialysoida	1	intransitive
diarioida	1	intransitive
diatsotoida	1	intransitive
dieselöidä	1	intransitive
differentioida	1	intransitive
differentioitua	1	intransitive
diffundoitua	1	intransitive
diftongiutua	1	intransitive
digata	1	intransitive
digestoida	1	intransitive
digitaalistaa	1	intransitive
digitaalistua	1	intransitive
digitalisoida	1	intransitive
digitoida	1	intransitive
diilata	1	intransitive
diivailla	1	intransitive
diivata	1	intransitive
dimeroitua	1	intransitive
dipata	1	intransitive
disaggregoida	1	intransitive
diskata	1	intransitive
diskontata	1	intransitive
diskota	1	intransitive
diskriminoida	1	intransitive
diskvalifioida	1	intransitive
dispergoida	1	intransitive
dispersoida	1	intransitive
dissimiloitua	1	intransitive
dissonoida	1	intransitive
dissosioitua	1	intransitive
divergoitua	1	intransitive
diversifioida	1	intransitive
dokata	1	intransitive
dokumentoida	1	intransitive
dominoida	1	intransitive
donkata	1	intransitive
doupata	1	intransitive
dramatiseerata	1	intransitive
dramatisoida	1	intransitive
drapeerata	1	intransitive
dreijata	1	intransitive
dubata	1	intransitive
dubbata	1	intransitive
dumpata	1	intransitive
duunata	1	intransitive
dynamisoida	1	intransitive
edelleenlähettää	1	intransitive
edelleenvakuuttaa	1	intransitive
edelleenvuokrata	1	intransitive
edellyttää	1	intransitive
edeltää	1	intransitive
edesantaa	1	intransitive
edesastua	1	intransitive
edesauttaa	1	intransitive
edeskantaa	1	intransitive
edeskatsoa	1	intransitive
edeskäydä	1	intransitive
edespitää	1	intransitive
edestuoda	1	intransitive
edesvastata	1	intransitive
edetä	1	intransitive
edistyä	1	intransitive
edistää	1	intransitive
editoida	1	intransitive
edustaa	1	intransitive
edustautua	1	intransitive
edustua	1	intransitive
ehdollistaa	1	intransitive
ehdollistua	1	intransitive
ehdotella	1	intransitive
ehdottaa	1	intransitive
ehdyttää	1	intransitive
eheyttää	1	intransitive
eheytyä	1	intransitive
ehkäistyä	1	intransitive
ehkäistä	1	intransitive
ehostaa	1	intransitive
ehtiä	1	intransitive
ehtyä	1	intransitive
ehättää	1	intransitive
ei	1	intransitive
eittää	1	intransitive
ejakuloida	1	intransitive
ekobetonoida	1	intransitive
eksisteerata	1	intransitive
eksistoida	1	intransitive
eksplikoida	1	intransitive
ekstrahoida	1	intransitive
ekstrapoloida	1	intransitive
ekstrudoida	1	intransitive
eksyttää	1	intransitive
eksyä	1	intransitive
elaboroida	1	intransitive
elehtiä	1	intransitive
elellä	1	intransitive
eliminoida	1	intransitive
eliminoitua	1	intransitive
elinkelpoistaa	1	intransitive
ellottaa	1	intransitive
eloksoida	1	intransitive
elokuvata	1	intransitive
elollistaa	1	intransitive
elostella	1	intransitive
elostua	1	intransitive
elostuttaa	1	intransitive
elpyä	1	intransitive
eltaantua	1	intransitive
eluioida	1	intransitive
eluoida	1	intransitive
elvistellä	1	intransitive
elvyttää	1	intransitive
elähdyttää	1	intransitive
elähyttää	1	intransitive
eläimellistyä	1	intransitive
eläimellistää	1	intransitive
eläköityä	1	intransitive
elämöidä	1	intransitive
elätellä	1	intransitive
elättää	1	intransitive
elävöittää	1	intransitive
elävöityä	1	intransitive
eläytyä	1	intransitive
elää	1	intransitive
emaloida	1	intransitive
emansipeerata	1	intransitive
emansipoida	1	intransitive
emansipoitua	1	intransitive
emigroida	1	intransitive
emigroitua	1	intransitive
emittoida	1	intransitive
empatisoida	1	intransitive
empiä	1	intransitive
emulgoida	1	intransitive
emulgoitua	1	intransitive
emuloida	1	intransitive
emännöidä	1	intransitive
enentyä	1	intransitive
enentää	1	intransitive
enetä	1	intransitive
englannintaa	1	intransitive
englantilaistaa	1	intransitive
enimmäistää	1	intransitive
enkoodata	1	intransitive
ennakoida	1	intransitive
ennallistaa	1	intransitive
ennalta-arvata	1	intransitive
ennaltaehkäistä	1	intransitive
ennaltamäärätä	1	intransitive
ennastaa	1	intransitive
ennustaa	1	intransitive
ennustella	1	intransitive
ennättää	1	intransitive
ensiesittää	1	intransitive
ensisijaistaa	1	intransitive
enteillä	1	intransitive
entistää	1	intransitive
entisöidä	1	intransitive
entrata	1	intransitive
entää	1	intransitive
epuuttaa	1	intransitive
epäillä	1	intransitive
epäilyttää	1	intransitive
epämuodostua	1	intransitive
epämääräistyä	1	intransitive
epäonnistua	1	intransitive
epäröidä	1	intransitive
epävakauttaa	1	intransitive
erakoitua	1	intransitive
erata	1	intransitive
erehdyttää	1	intransitive
erehtyä	1	intransitive
erhettyä	1	intransitive
eriarvoistaa	1	intransitive
eriarvoistua	1	intransitive
erikoistaa	1	intransitive
erikoistua	1	intransitive
erilaistaa	1	intransitive
erilaistua	1	intransitive
