lemma	NOUN	blacklist
Häntä	PROPN	propn-blocking
Häntäpää	PROPN	propn-blocking
Härkä	PROPN	propn-blocking
Härkänen	PROPN	propn-blocking
Härkäpää	PROPN	propn-blocking
Häränhäntä	PROPN	propn-blocking
Häränsilmä	PROPN	propn-blocking
Hätähuuto	PROPN	propn-blocking
Hätävara	PROPN	propn-blocking
Hävittää	PROPN	propn-blocking
Häviö	PROPN	propn-blocking
Häävi	PROPN	propn-blocking
Hölkkä	PROPN	propn-blocking
Höllä	PROPN	propn-blocking
Hölö	PROPN	propn-blocking
Hönö	PROPN	propn-blocking
Höpelö	PROPN	propn-blocking
Höperö	PROPN	propn-blocking
Hörhö	PROPN	propn-blocking
Höyhen	PROPN	propn-blocking
Höyheninen	PROPN	propn-blocking
Höyhensaaret	PROPN	propn-blocking
Höylä	PROPN	propn-blocking
Höyry	PROPN	propn-blocking
Ihana	PROPN	propn-blocking
Ihanainen	PROPN	propn-blocking
Ihme	PROPN	propn-blocking
Iho	PROPN	propn-blocking
Illansuu	PROPN	propn-blocking
Ilma	PROPN	propn-blocking
Ilmainen	PROPN	propn-blocking
Ilmarata	PROPN	propn-blocking
Ilmasto	PROPN	propn-blocking
Ilmavaara	PROPN	propn-blocking
Ilmavirta	PROPN	propn-blocking
Ilmetty	PROPN	propn-blocking
Ilmi	PROPN	propn-blocking
Ilmiö	PROPN	propn-blocking
Ilo	PROPN	propn-blocking
Ilta	PROPN	propn-blocking
Iltalehti	PROPN	propn-blocking
Iltanen	PROPN	propn-blocking
Iltarusko	PROPN	propn-blocking
Ilves	PROPN	propn-blocking
Imago	PROPN	propn-blocking
Imelä	PROPN	propn-blocking
Impi	PROPN	propn-blocking
Info	PROPN	propn-blocking
Inha	PROPN	propn-blocking
Into	PROPN	propn-blocking
Intra	PROPN	propn-blocking
Intti	PROPN	propn-blocking
Isku	PROPN	propn-blocking
Islam	PROPN	propn-blocking
Isosilmä	PROPN	propn-blocking
Istukka	PROPN	propn-blocking
Isänmaa	PROPN	propn-blocking
Isännätön	PROPN	propn-blocking
Isäntä	PROPN	propn-blocking
Isä	PROPN	propn-blocking
Itara	PROPN	propn-blocking
Itikka	PROPN	propn-blocking
Itäinen	PROPN	propn-blocking
Itämaa	PROPN	propn-blocking
Itäpuoli	PROPN	propn-blocking
Itäranta	PROPN	propn-blocking
Itärinne	PROPN	propn-blocking
Iäinen	PROPN	propn-blocking
Jade	PROPN	propn-blocking
Jakaja	PROPN	propn-blocking
Jakku	PROPN	propn-blocking
Jako	PROPN	propn-blocking
Jakolasku	PROPN	propn-blocking
Jalas	PROPN	propn-blocking
Jalava	PROPN	propn-blocking
Jalkamaa	PROPN	propn-blocking
Jalkapuu	PROPN	propn-blocking
Jalkasilta	PROPN	propn-blocking
Jalo	PROPN	propn-blocking
Jama	PROPN	propn-blocking
Jana	PROPN	propn-blocking
Jano	PROPN	propn-blocking
Jatke	PROPN	propn-blocking
Jatkettu	PROPN	propn-blocking
Jatko	PROPN	propn-blocking
Jauhaja	PROPN	propn-blocking
Jauho	PROPN	propn-blocking
Jee	PROPN	propn-blocking
Jeesus	PROPN	propn-blocking
Jin	PROPN	propn-blocking
Jo	PROPN	propn-blocking
Joenhaara	PROPN	propn-blocking
Joenmutka	PROPN	propn-blocking
Joenniska	PROPN	propn-blocking
Joenpolvi	PROPN	propn-blocking
Joenranta	PROPN	propn-blocking
Joenvarsi	PROPN	propn-blocking
Johan	PROPN	propn-blocking
Johde	PROPN	propn-blocking
Johto	PROPN	propn-blocking
Joki	PROPN	propn-blocking
Jokijärvi	PROPN	propn-blocking
Jokilaakso	PROPN	propn-blocking
Jokiranta	PROPN	propn-blocking
Jokisuu	PROPN	propn-blocking
Jokitasanko	PROPN	propn-blocking
Jokitörmä	PROPN	propn-blocking
Jokivarsi	PROPN	propn-blocking
Jokki	PROPN	propn-blocking
Jolla	PROPN	propn-blocking
Jorpakko	PROPN	propn-blocking
Jouhi	PROPN	propn-blocking
Jouhikko	PROPN	propn-blocking
Jousi	PROPN	propn-blocking
Jousimies	PROPN	propn-blocking
Joutava	PROPN	propn-blocking
Joutsen	PROPN	propn-blocking
Julma	PROPN	propn-blocking
Jumalinen	PROPN	propn-blocking
Jumi	PROPN	propn-blocking
Jumppa	PROPN	propn-blocking
Junkkari	PROPN	propn-blocking
Junnu	PROPN	propn-blocking
Juntti	PROPN	propn-blocking
Juokseva	PROPN	propn-blocking
Juoksu	PROPN	propn-blocking
Juolukka	PROPN	propn-blocking
Juominki	PROPN	propn-blocking
Juoni	PROPN	propn-blocking
Juonne	PROPN	propn-blocking
Juonto	PROPN	propn-blocking
Juopa	PROPN	propn-blocking
Juoru	PROPN	propn-blocking
Juotava	PROPN	propn-blocking
Juote	PROPN	propn-blocking
Juotin	PROPN	propn-blocking
Juottola	PROPN	propn-blocking
Juova	PROPN	propn-blocking
Jupakka	PROPN	propn-blocking
Juppi	PROPN	propn-blocking
Jurri	PROPN	propn-blocking
Justeeri	PROPN	propn-blocking
Juupeli	PROPN	propn-blocking
Juurakko	PROPN	propn-blocking
Juureva	PROPN	propn-blocking
Juuri	PROPN	propn-blocking
Juuriharja	PROPN	propn-blocking
Juuristo	PROPN	propn-blocking
Juustola	PROPN	propn-blocking
Juutti	PROPN	propn-blocking
Jylhä	PROPN	propn-blocking
Jylisevä	PROPN	propn-blocking
Jyly	PROPN	propn-blocking
Jyrisevä	PROPN	propn-blocking
Jyrkkä	PROPN	propn-blocking
Jyrkänne	PROPN	propn-blocking
Jyrä	PROPN	propn-blocking
Jyske	PROPN	propn-blocking
Jytisevä	PROPN	propn-blocking
Jyty	PROPN	propn-blocking
Jäkälä	PROPN	propn-blocking
Jämerä	PROPN	propn-blocking
Jänis	PROPN	propn-blocking
Jänkä	PROPN	propn-blocking
Jänne	PROPN	propn-blocking
Jäntere	PROPN	propn-blocking
Jänö	PROPN	propn-blocking
Jänönen	PROPN	propn-blocking
Järvenpohja	PROPN	propn-blocking
Järvenranta	PROPN	propn-blocking
Järvenselkä	PROPN	propn-blocking
Järvi	PROPN	propn-blocking
Järviseutu	PROPN	propn-blocking
Jättiläinen	PROPN	propn-blocking
Jäykkä	PROPN	propn-blocking
Jääkäri	PROPN	propn-blocking
Jäämeri	PROPN	propn-blocking
Jäärä	PROPN	propn-blocking
Jäävuori	PROPN	propn-blocking
Ka	PROPN	propn-blocking
Kaakeli	PROPN	propn-blocking
Kaakko	PROPN	propn-blocking
Kaakkuri	PROPN	propn-blocking
Kaalimaa	PROPN	propn-blocking
Kaani	PROPN	propn-blocking
Kaapeli	PROPN	propn-blocking
Kaapu	PROPN	propn-blocking
Kaara	PROPN	propn-blocking
Kaari	PROPN	propn-blocking
Kaarna	PROPN	propn-blocking
Kaarne	PROPN	propn-blocking
Kaarre	PROPN	propn-blocking
Kaarti	PROPN	propn-blocking
Kaarto	PROPN	propn-blocking
Kaataja	PROPN	propn-blocking
Kaava	PROPN	propn-blocking
Kadettikunta	PROPN	propn-blocking
Kahdeksainen	PROPN	propn-blocking
Kahdeksikko	PROPN	propn-blocking
Kahiseva	PROPN	propn-blocking
Kahju	PROPN	propn-blocking
Kai	PROPN	propn-blocking
Kaide	PROPN	propn-blocking
Kaihi	PROPN	propn-blocking
Kaiho	PROPN	propn-blocking
Kaijanen	PROPN	propn-blocking
Kaijat	PROPN	propn-blocking
