lemma	homonym	plurale_tantum
etelänpyökki	1	common
Etelänsaaret	1	obligatory
Etelä-Pohjanmaan Yrittäjät	1	obligatory
Etelä-Rodopit	1	obligatory
Etelä-Suomen Sanomat	1	obligatory
Eteläsuonsaarekkeet	1	obligatory
Etelä-Vantaan Urheilijat	1	obligatory
Eteläviidat	1	obligatory
Etolansaaret	1	obligatory
Etseojanpalot	1	obligatory
Ettisseljänhieriköt	1	obligatory
etu	1	common
etuaivot	1	obligatory
Etuhaankalliot	1	obligatory
Etuhiekat	1	obligatory
Etukalliot	1	obligatory
Etuniemet	1	obligatory
euromarkkinat	1	obligatory
Eurooppanuoret	1	obligatory
Eurosinkut	1	obligatory
eurovaalit	1	obligatory
Eussaaret	1	obligatory
Evankeliset opiskelijat	1	obligatory
Evankeliset ystävät	1	obligatory
Evijärven Urheilijat	1	obligatory
Evijärvenkankaat	1	obligatory
Evilahdenkalliot	1	obligatory
eväjalkalisko	1	common
Faarinalat	1	obligatory
Faarinkarit	1	obligatory
Falklandinsaaret	1	obligatory
Falklandsaaret	1	obligatory
farkut	1	obligatory
farmarihousut	1	obligatory
farmarit	1	obligatory
fasaanipyy	1	common
Fattiharjut	1	obligatory
Fazer Leipomot	1	obligatory
Fazer Makeiset	1	obligatory
festivaali	1	common
Filippiinit	1	obligatory
filmifestivaalit	1	obligatory
filmijuhlat	1	obligatory
Filosofian ja elämänkatsomustiedon opettajat	1	obligatory
finanssit	1	obligatory
Finninkankaat	1	obligatory
Finnmatkat	1	obligatory
Firanlähteet	1	obligatory
flanellihousut	1	obligatory
Flegmaatikot	1	obligatory
Fleininkalliot	1	obligatory
floridanvesimyyrät	1	obligatory
Formusaaret	1	obligatory
Forssan Koripojat	1	obligatory
fossat	1	obligatory
fot	1	obligatory
Frakaninkalliot	1	obligatory
Freelance-graafikot	1	obligatory
Freskansaaret	1	obligatory
fudut	1	obligatory
Futunasaaret	1	obligatory
fuuriat	1	obligatory
Fänrikit	1	obligatory
Färsaaret	1	obligatory
gabardiinihousut	1	obligatory
Galapagossaaret	1	obligatory
Gasellit	1	obligatory
geimit	1	obligatory
genitaalit	1	obligatory
golfhousut	1	obligatory
golfvaruste	1	common
Grenadiinit	1	obligatory
grillauspihdit	1	obligatory
grillijuhla	1	common
grillipihdit	1	obligatory
grönlanninhylje	1	common
GWS Yhtiöt	1	obligatory
Haalankalliot	1	obligatory
Haalansaaret	1	obligatory
haalari	1	common
Haankalliot	1	obligatory
Haankorvenkalliot	1	obligatory
Haanperänkarit	1	obligatory
Haanperänvuoret	1	obligatory
Haanvuoret	1	obligatory
Haapajoenniityt	1	obligatory
Haapajärven Kiilat	1	obligatory
Haapajärven Pesä-Kiilat	1	obligatory
Haapajärvet	1	obligatory
Haapakalliot	1	obligatory
Haapakankaansaaret	1	obligatory
Haapakummunniityt	1	obligatory
Haapalammit	1	obligatory
Haapalanniitut	1	obligatory
Haapalomat	1	obligatory
Haapanansaaret	1	obligatory
Haapanivat	1	obligatory
Haapasaaret	1	obligatory
Haapasiltoinniitut	1	obligatory
Haapaviidankalliot	1	obligatory
Haapavuoret	1	obligatory
Haapikalliot	1	obligatory
Haapisensaaret	1	obligatory
Haapokalliot	1	obligatory
Haapokankaat	1	obligatory
Haapolammit	1	obligatory
Haaponiemensaaret	1	obligatory
Haaporimmit	1	obligatory
Haaposaaret	1	obligatory
haarahaukka	1	common
Haarahongankalliot	1	obligatory
Haarainharjut	1	obligatory
Haarainniityt	1	obligatory
Haarakankaat	1	obligatory
Haarakarit	1	obligatory
haarakkaat	1	obligatory
Haarakorvenkaarrot	1	obligatory
Haarakoskentievat	1	obligatory
Haarakummut	1	obligatory
Haaralamminkalliot	1	obligatory
Haaralammit	1	obligatory
Haaralampinsuot	1	obligatory
Haaramännynkalliot	1	obligatory
Haaranahot	1	obligatory
Haaranivat	1	obligatory
Haaranmäet	1	obligatory
Haaranniitut	1	obligatory
Haarapahtaat	1	obligatory
Haarapalot	1	obligatory
Haarapuronahot	1	obligatory
Haarasaaret	1	obligatory
Haarat	1	obligatory
Haaravuotsonharjut	1	obligatory
haaremihousut	1	obligatory
haaremihylje	1	common
Haaringaisenniityt	1	obligatory
Haarostensuot	1	obligatory
haarusanikat	1	obligatory
haarusanikkaiset	1	obligatory
Haasialammit	1	obligatory
Haasianniityt	1	obligatory
Haasiansaaret	1	obligatory
Haasiansalmennevat	1	obligatory
Haasiasaaret	1	obligatory
Haasielammit	1	obligatory
Haasiolammit	1	obligatory
Haaskakummut	1	obligatory
Haavistonkorvet	1	obligatory
Haavistonpellot	1	obligatory
Hahdenkarit	1	obligatory
Hahtikummut	1	obligatory
Haihkamenluodot	1	obligatory
Haikanluodot	1	obligatory
Haikansaaret	1	obligatory
Haikaralammit	1	obligatory
haikaralintu	1	common
Haikarasaaret	1	obligatory
Haikkaanluodot	1	obligatory
Haikonluodot	1	obligatory
Haikonsaaret	1	obligatory
Haipankummut	1	obligatory
Haipankuusikot	1	obligatory
Hairahtamanharjut	1	obligatory
Haisevanpellot	1	obligatory
Haisevansaaret	1	obligatory
Haiskonsaaret	1	obligatory
Haisujärvenkuusikot	1	obligatory
Haisukankaat	1	obligatory
Haisukummut	1	obligatory
Haisulamminletot	1	obligatory
Haisulammit	1	obligatory
Haisunkedot	1	obligatory
haisusieni	1	common
Haitaritievat	1	obligatory
Haitaset	1	obligatory
haiven	1	common
Haivuorenkalliot	1	obligatory
hajotusvaalit	1	obligatory
hajuaivot	1	obligatory
Haka-Heikin saaret	1	obligatory
Hakakalliot	1	obligatory
Hakalanlammit	1	obligatory
Hakankalliot	1	obligatory
Hakanpellot	1	obligatory
hake	1	common
Hakkarankaarrot	1	obligatory
Hakkuunkalliot	1	obligatory
Hakkuusaaret	1	obligatory
Hakoalankalliot	1	obligatory
Hakokalliot	1	obligatory
Hakokarit	1	obligatory
Hakokosket	1	obligatory
Hakolammit	1	obligatory
Hakoluodot	1	obligatory
Hakosaaret	1	obligatory
Hakulisenlössät	1	obligatory
hakupaperit	1	obligatory
Halikinkankaat	1	obligatory
Halikon Hakoniskat	1	obligatory
Halimaankalliot	1	obligatory
Halisenromput	1	obligatory
Halkikivet	1	obligatory
Halkiskivet	1	obligatory
halko	1	common
Halkokarin Ulkomatalat	1	obligatory
Halkokarit	1	obligatory
Halkokivet	1	obligatory
Halkokorvenkalliot	1	obligatory
Halkokorvet	1	obligatory
Halkolaksonkalliot	1	obligatory
Halkolammit	1	obligatory
Halkoluodot	1	obligatory
Halkoniitut	1	obligatory
Halkosaarenluodot	1	obligatory
Halkosaaret	1	obligatory
Halla-ahonlammit	1	obligatory
Halla-ahonpellot	1	obligatory
Halla-ahonvuoret	1	obligatory
Hallakansaaret	1	obligatory
Hallakivet	1	obligatory
Hallalammit	1	obligatory
Hallaniityt	1	obligatory
Hallinto-opin kandidaatit	1	obligatory
Hallitusammattilaiset	1	obligatory
hallitusneuvottelut	1	obligatory
hallitustunnustelut	1	obligatory
hallitusvaalit	1	obligatory
Halmeahot	1	obligatory
Halmesaaret	1	obligatory
Halonkalliot	1	obligatory
Halosenmäet	1	obligatory
Halosenvuoret	1	obligatory
Halsonkalliot	1	obligatory
Halstimalammit	1	obligatory
Haltianharjut	1	obligatory
Halttuslammit	1	obligatory
Haluksenlammit	1	obligatory
Halvasaaret	1	obligatory
Hamaralammit	1	obligatory
Haminaharjut	1	obligatory
Haminakarit	1	obligatory
Haminalammit	1	obligatory
Haminaluodot	1	obligatory
Haminan Palloilijat	1	obligatory
Haminanharjut	1	obligatory
Haminapuljut	1	obligatory
hammasjuuri	1	common
hammaskarppi	1	common
hammaskotilo	1	common
hammaspihdit	1	obligatory
hammasraudat	1	obligatory
Hamperinkalliot	1	obligatory
Hampjärvenmäet	1	obligatory
hamppu	1	common
Hamppukaltiot	1	obligatory
hamppukasvi	1	common
Hamppulammit	1	obligatory
Hamskerinriutat	1	obligatory
Hangasaavankummut	1	obligatory
Hangasharjut	1	obligatory
Hangaslahdenniitut	1	obligatory
Hangaslamminsuot	1	obligatory
Hangaslammit	1	obligatory
Hangasmäenkalliot	1	obligatory
Hangasnorkonkalliot	1	obligatory
Hangaspalonsaaret	1	obligatory
Hangasrimmit	1	obligatory
Hangassaaret	1	obligatory
Hangassuntinkalliot	1	obligatory
Hangasvaaranniityt	1	obligatory
Hangonsaaret	1	obligatory
Hanhenjuoksuttamajärvet	1	obligatory
Hanhenvarpaat	1	obligatory
Hanhijoenkalliot	1	obligatory
Hanhijänkäntievat	1	obligatory
Hanhijärvenpalot	1	obligatory
Hanhijärvet	1	obligatory
Hanhikalliot	1	obligatory
Hanhikaltiot	1	obligatory
Hanhikankaat	1	obligatory
Hanhikarit	1	obligatory
Hanhilammet	1	obligatory
Hanhilamminharjut	1	obligatory
Hanhilammit	1	obligatory
Hanhilantot	1	obligatory
Hanhiluodot	1	obligatory
Hanhinevat	1	obligatory
Hanhipuljut	1	obligatory
