lemma	homonym	boundaries
ahdassuinen	1	ahdas{WB}suinen
ahdassuusammakko	1	ahdassuu{WB}sammakko
ahdekaunokki	1	ahde{WB}kaunokki
ahdelauha	1	ahde{WB}lauha
ahdinkotila	1	ahdinko{WB}tila
ahdinmalluainen	1	ahdin{WB}malluainen
ahdistuneisuushäiriö	1	ahdistuneisuus{WB}häiriö
ahdistushysteria	1	ahdistus{WB}hysteria
ahdistuskohtaus	1	ahdistus{WB}kohtaus
ahdistusneuroosi	1	ahdistus{WB}neuroosi
ahdistustila	1	ahdistus{WB}tila
ahkeraliisa	1	ahkera{WB}liisa
Ahlqvist	1	Ahl{WB}qvist
Ahmasvesi	1	Ahmas{WB}vesi
ahmimishäiriö	1	ahmimis{WB}häiriö
ahojäkkärä	1	aho{WB}jäkkärä
ahokissankäpälä	1	aho{WB}kissankäpälä
ahomansikka	1	aho{WB}mansikka
ahomatara	1	aho{WB}matara
ahoniitty	1	aho{WB}niitty
ahonoidanlukko	1	ahonoidan{WB}lukko
ahosuolaheinä	1	aho{WB}suolaheinä
ahtausliike	1	ahtaus{WB}liike
ahtaustyö	1	ahtaus{WB}työ
ahtisaarna	1	ahti{WB}saarna
ahtoilma	1	ahto{WB}ilma
ahtojää	1	ahto{WB}jää
ahtopaine	1	ahto{WB}paine
Ahvenanmaa	1	Ahvenan{WB}maa
ahvenheinä	1	ahven{WB}heinä
ahvenkala	1	ahven{WB}kala
ahvenruoho	1	ahven{WB}ruoho
Ahvenselkä	1	Ahven{WB}selkä
ahvenvita	1	ahven{WB}vita
Ahvionjärvi	1	Ahvion{WB}järvi
Ahvionsaari	1	Ahvion{WB}saari
aidanrako	1	aidan{WB}rako
aidanseiväs	1	aidan{WB}seiväs
aidanvieri	1	aidan{WB}vieri
aidaskääpä	1	aidas{WB}kääpä
AIDS-potilas	1	AIDS-potilas
aiepöytäkirja	1	aie{WB}pöytä{WB}kirja
aiesopimus	1	aie{WB}sopimus
aiheenmukainen	1	aiheen{WB}mukainen
aiheenvalinta	1	aiheen{WB}valinta
aihepiiri	1	aihe{WB}piiri
aihetodiste	1	aihe{WB}todiste
aika-ajo	1	aika-ajo
aikaansaada	1	aikaan{WB}saada
aikaansaannos	1	aikaan{WB}saannos
aika-arvo	1	aika-arvo
aikaavievä	1	aikaa{WB}vievä
aikaero	1	aika{WB}ero
aikaerorasitus	1	aika{WB}ero{WB}rasitus
aikaihminen	1	aika{WB}ihminen
aikajakso	1	aika{WB}jakso
aikajana	1	aika{WB}jana
aikajärjestys	1	aika{WB}järjestys
aikakapseli	1	aika{WB}kapseli
aikakauppa	1	aika{WB}kauppa
aikakausi	1	aika{WB}kausi
aikakausilehti	1	aikakausi{WB}lehti
aikakehys	1	aika{WB}kehys
aikakirja	1	aika{WB}kirja
aikakone	1	aika{WB}kone
aikakysymys	1	aika{WB}kysymys
aikakytkin	1	aika{WB}kytkin
aikalainen	1	aika{WB}lainen
aikalaukaisin	1	aika{WB}laukaisin
aikalisä	1	aika{WB}lisä
aikalukko	1	aika{WB}lukko
aikaluokka	1	aika{WB}luokka
aikamatka	1	aika{WB}matka
aikamatkailu	1	aika{WB}matkailu
aikamatkustus	1	aika{WB}matkustus
aikamerkki	1	aika{WB}merkki
aikamies	1	aika{WB}mies
aikamiespoika	1	aika{WB}mies{WB}poika
aikamiina	1	aika{WB}miina
aikamitta	1	aika{WB}mitta
aikamoinen	1	aika{WB}moinen
aikamuoto	1	aika{WB}muoto
aikamuotojärjestelmä	1	aikamuoto{WB}järjestelmä
aikamäärä	1	aika{WB}määrä
aikapalkka	1	aika{WB}palkka
aikapalkkainen	1	aika{WB}palkkainen
aikapalkkaus	1	aika{WB}palkkaus
aikapeli	1	aika{WB}peli
aikapommi	1	aika{WB}pommi
aikapula	1	aika{WB}pula
aikarahtaus	1	aika{WB}rahtaus
aikaraja	1	aika{WB}raja
aikarajoitus	1	aika{WB}rajoitus
aikasarja	1	aika{WB}sarja
aikasytytin	1	aika{WB}sytytin
aikasytytteinen	1	aika{WB}sytytteinen
aikasytytyksinen	1	aika{WB}sytytyksinen
aikasytytys	1	aika{WB}sytytys
aikataulu	1	aika{WB}taulu
aikatauluttaa	1	aika{WB}tauluttaa
aikatiedotus	1	aika{WB}tiedotus
aikaurakka	1	aika{WB}urakka
aikavalotus	1	aika{WB}valotus
aikavaraus	1	aika{WB}varaus
aikaveloitus	1	aika{WB}veloitus
aikavyöhyke	1	aika{WB}vyöhyke
aikaväli	1	aika{WB}väli
aikayksikkö	1	aika{WB}yksikkö
aikuisikä	1	aikuis{WB}ikä
aikuiskaste	1	aikuis{WB}kaste
aikuiskasvatus	1	aikuis{WB}kasvatus
aikuiskoulutus	1	aikuis{WB}koulutus
aikuisopetus	1	aikuis{WB}opetus
aikuisopiskelija	1	aikuis{WB}opiskelija
Ailakkavaara	1	Ailakka{WB}vaara
ainaisjäsen	1	ainais{WB}jäsen
ainaisvakuutus	1	ainais{WB}vakuutus
ainavihanta	1	aina{WB}vihanta
aineellistuma	1	aineellis{WB}tuma
aineenjuoksevuusoppi	1	aineenjuoksevuus{WB}oppi
aineenkirjoittaja	1	aineen{WB}kirjoittaja
aineenkoetus	1	aineen{WB}koetus
aineenopettaja	1	aineen{WB}opettaja
aineenvaihdunnallinen	1	aineen{WB}vaihdunnallinen
aineenvaihdunta	1	aineen{WB}vaihdunta
aineenvaihduntahäiriö	1	aineen{WB}vaihdunta{WB}häiriö
aineenvaihduntaprosessi	1	aineenvaihdunta{WB}prosessi
aineenvaihduntatuote	1	aineenvaihdunta{WB}tuote
ainehiukkanen	1	aine{WB}hiukkanen
aineistokoe	1	aineisto{WB}koe
aineistuma	1	aineis{WB}tuma
ainejakoinen	1	aine{WB}jakoinen
ainejärjestö	1	aine{WB}järjestö
ainekirjoitus	1	aine{WB}kirjoitus
ainekoostumus	1	aine{WB}koostumus
aineksenkeruu	1	aineksen{WB}keruu
aineluokka	1	aine{WB}luokka
aineluokkajärjestelmä	1	aine{WB}luokka{WB}järjestelmä
ainemäärä	1	aine{WB}määrä
aineopinnot	1	aine{WB}opinnot
aineosa	1	aine{WB}osa
ainesana	1	aine{WB}sana
aineseos	1	aine{WB}seos
aineskokoelma	1	aines{WB}kokoelma
ainesosa	1	aines{WB}osa
ainespuu	1	aines{WB}puu
aineyhdistelmä	1	aine{WB}yhdistelmä
ainoalaatuinen	1	ainoa{WB}laatuinen
ainoalaatuisuus	1	ainoa{WB}laatuisuus
ainoiskappale	1	ainois{WB}kappale
ainutkertainen	1	ainut{WB}kertainen
ainutlaatuinen	1	ainut{WB}laatuinen
airedalenterrieri	1	airedalen{WB}terrieri
airokala	1	airo{WB}kala
airomies	1	airo{WB}mies
aironlapa	1	airon{WB}lapa
aironveto	1	airon{WB}veto
airopari	1	airo{WB}pari
airutkuvio	1	airut{WB}kuvio
aisahevonen	1	aisa{WB}hevonen
aisakello	1	aisa{WB}kello
aisankannattaja	1	aisan{WB}kannattaja
aisapari	1	aisa{WB}pari
aistialue	1	aisti{WB}alue
aistienvarainen	1	aistien{WB}varainen
aistiharha	1	aisti{WB}harha
aistiharhainen	1	aisti{WB}harhainen
aistihavainto	1	aisti{WB}havainto
aistihermo	1	aisti{WB}hermo
aistikokemus	1	aisti{WB}kokemus
aistimaailma	1	aisti{WB}maa{XB}ilma
aistimuskynnys	1	aistimus{WB}kynnys
aistimussisältö	1	aistimus{WB}sisältö
aistinelin	1	aistin{WB}elin
aistinreseptori	1	aistin{WB}reseptori
aistinsisältö	1	aistin{WB}sisältö
aistinsolu	1	aistin{WB}solu
aistinvarainen	1	aistin{WB}varainen
aistipiiri	1	aisti{WB}piiri
aistivaikutelma	1	aisti{WB}vaikutelma
aistivammainen	1	aisti{WB}vammainen
aistivammainen	2	aisti{WB}vammainen
aitajuoksija	1	aita{WB}juoksija
aitajuoksu	1	aita{WB}juoksu
aitajuoksukilpailu	1	aitajuoksu{WB}kilpailu
