lemma	new_para	original-ktn
vapaakivääri	N_KEHVELI	50
vapaakunta	N_KUNTA	50
vapaakytkin	N_ELIN	50
vapaakyyti	N_NIHTI	50
vapaalippu	N_LIPPU	50
vapaaluistelu	N_SEIKKAILU	50
vapaalyönti	N_VIENTI	50
vapaamatkustaja	N_MAKKARA	50
vapaamuurari	N_KANAALI	50
vapaaohjelma	N_VOIMA	50
vapaaopisto	N_RUIPELO	50
vapaaoppilas	N_PATSAS	50
vapaaosake	N_KASTIKE	50
vapaapaini	N_RUUVI	50
vapaapalokunta	N_KUNTA	50
vapaapistooli	N_KANAALI	50
vapaapotku	N_ASU	15
vapaapäivä	N_HÖPÖTTÄJÄ	50
vapaasatama	N_VOIMA	50
vapaataival	N_TAIVAL	50
vapaatanssi	N_RUUVI	50
vapaatunti	N_SOINTI	50
vapaauinti	N_SOINTI	50
vapaavarasto	N_RUIPELO	50
vapaavarsi	N_VARSI	50
vapaavuoro	N_TALO	50
vapaavuosi	N_KAUSI	50
velinen	N_KYLKIÄINEN	99
veli	N_VELI	7
veri	N_VERI	26
vierasaine	N_ASTE	50
vierasesine	N_PISTE	50
vieraskenttä	N_KENTTÄ	50
vierasmies	N_MIES	50
vierasmies	N_MIES	51
vierassana	N_KIRJA	50
vierastyöläinen	N_KYLKIÄINEN	50
vierastyövoima	N_VOIMA	50
vihantalannoitus	N_VAKUUTUS	50
vihantarehu	N_ASU	50
viileäkaappi	N_KUPPI	50
viistolasku	N_ASU	50
viistoperä	N_HÖPÖTTÄJÄ	50
viistopinta	N_KUTSUNTA	50
viistorivi	N_TYYLI	50
viistosauma	N_KIRJA	50
villieläin	N_ELIN	50
villihanhi	N_ONNI	50
villihevonen	N_AAKKOSTAMINEN	50
villi-ihminen	N_KYLKIÄINEN	50
villikaali	N_RUUVI	50
villikarju	N_ASU	50
villikissa	N_KIRJA	50
villilapsi	N_LAPSI	50
villimehiläinen	N_KYLKIÄINEN	50
villiminkki	N_HÄKKI	50
villiomena	N_PROBLEEMA	50
villipeto	N_VETO	50
villipeura	N_KIRJA	50
villiruusu	N_ASU	50
villisika	N_VIKA	50
villisilkki	N_HÄKKI	50
villivarsa	N_KIRJA	50
villivihannes	N_VAKUUTUS	50
villiviini	N_TYYLI	50
vinokaitale	N_ASTE	50
vinokatto	N_HIRTTO	50
vinoköysisilta	N_VALTA	50
vinolaudoitus	N_VAKUUTUS	50
vinolehti	N_LEHTI	50
vinonauha	N_KIRJA	50
vinoneliö	N_HÄIRIÖ	50
vinopaikoitus	N_VAKUUTUS	50
vinopysäköinti	N_VIENTI	50
vinoristi	N_TYYLI	50
vinoruutu	N_KUITU	50
vinosilmä	N_HÖPÖTTÄJÄ	50
vinosuuntaus	N_VAKUUTUS	50
vinotuki	N_NOKI	50
vinoviiva	N_KIRJA	50
vinoviivoitus	N_VAKUUTUS	50
vähäilmeinen	A_KYLMÄJÄRKINEN	18
vääräsääri	N_HIIRI	50
yksi-ilmeinen	A_KYLMÄJÄRKINEN	18
