lemma	new_para	plurale_tantum
Ulvilammit	N_LAMMIT	obligatory
Ulvilan Pesä-Veikot	N_JOUKOT	obligatory
Umpilamminkalliot	N_RAUNIOT	obligatory
Umpilamminkummut	N_KUMMUT	obligatory
Umpilamminnevat	N_VARAT	obligatory
Umpilammit	N_LAMMIT	obligatory
umpivaunu	N_ASU	common
Unelmavävyt	N_PÖKSYT	obligatory
unikkokasvi	N_RUUVI	common
Unikonkedot	N_PIDOT	obligatory
Unikuopat	N_KUOPAT	obligatory
Unikydöt	N_KYDÖT	obligatory
Unnikinluodot	N_PIDOT	obligatory
Untavansaaret	N_SAARET	obligatory
Unttuanpellot	N_AALLOT	obligatory
untuva	N_ASEMA	common
Uottoluodot	N_PIDOT	obligatory
Upakkosaaret	N_SAARET	obligatory
Upokaskivet	N_SAKSET	obligatory
Uppaluodot	N_PIDOT	obligatory
Uppijärvet	N_RIPSET	obligatory
Urakkaharjut	N_HOUSUT	obligatory
Urakkaojankummut	N_KUMMUT	obligatory
Urakkapuljut	N_HOUSUT	obligatory
Urakkaseljänrämeet	N_RÄMEET	obligatory
Uramonkosket	N_SAKSET	obligatory
Uramonsaaret	N_SAARET	obligatory
urheiluasu	N_ASU	common
urheiluhousut	N_HOUSUT	obligatory
urheilujoukot	N_JOUKOT	obligatory
urheilukisat	N_VARAT	obligatory
urheiluvaate	N_OSOITE	common
Urkolankalliot	N_RAUNIOT	obligatory
Urmitsalammit	N_LAMMIT	obligatory
Urmitsapalot	N_AIVOT	obligatory
Uronpellot	N_AALLOT	obligatory
Urpiaislammit	N_LAMMIT	obligatory
Urpiaissuot	N_SUOT	obligatory
Urposuonniityt	N_NIITYT	obligatory
Urramenjärvet	N_RIPSET	obligatory
Urtsanlammit	N_LAMMIT	obligatory
urut	N_FARKUT	obligatory
uskonveli	N_VELI	common
Usmankaarrot	N_KAARROT	obligatory
utare	N_ASTE	common
Utinvallit	N_LASIT	obligatory
Utrosenniitut	N_NIITUT	obligatory
Utsamonkosket	N_SAKSET	obligatory
Utterinpellot	N_AALLOT	obligatory
Uudenaituunkalliot	N_RAUNIOT	obligatory
Uudenjänkänjärvet	N_RIPSET	obligatory
Uudenjänkänkalliot	N_RAUNIOT	obligatory
Uudenjänkänsaajot	N_AIVOT	obligatory
Uudenkaupungin Jää-Kotkat	N_JUHLAT	obligatory
Uudenkaupungin Urheilijat	N_MARKKINAT	obligatory
Uudenlaitumensaaret	N_SAARET	obligatory
Uudenmaan Autourheilijat	N_MARKKINAT	obligatory
Uudenmaan Insinööriopiskelijat	N_MARKKINAT	obligatory
Uudenniitynkalliot	N_RAUNIOT	obligatory
Uudenniitynlammit	N_LAMMIT	obligatory
Uudenniitynpellot	N_AALLOT	obligatory
Uudenrannanpalstat	N_VARAT	obligatory
Uudensuonkalliot	N_RAUNIOT	obligatory
Uudentalonkalliot	N_RAUNIOT	obligatory
uudenvuodenvalvojaiset	N_RAPPUSET	obligatory
Uudetahot	N_AIVOT	obligatory
Uudetjänkät	N_SÄRKÄT	obligatory
uudin	N_VAADIN	common
Uudismaat	N_ITÄMAAT	obligatory
Uudispellot	N_AALLOT	obligatory
Uukalliot	N_RAUNIOT	obligatory
Uulan Kotajärvet	N_RIPSET	obligatory
uumen	N_JOUTSEN	common
Uumännynharjut	N_HOUSUT	obligatory
Uuniluodot	N_PIDOT	obligatory
Uunimaansaaret	N_SAARET	obligatory
Uunisaaret	N_SAARET	obligatory
Uunivuoret	N_SAARET	obligatory
Uupuneensaaret	N_SAARET	obligatory
Uupuneet	N_LIITTOUTUNEET	obligatory
Uuramänniköt	N_TÖLPÄKÖT	obligatory
Uuransarat	N_PAIKAT	obligatory
Uuronlammit	N_LAMMIT	obligatory
Uuronnurmet	N_SAKSET	obligatory
Uurto-oivinpakat	N_PAIKAT	obligatory
Uusaaret	N_SAARET	obligatory
uutiset	N_RAPPUSET	obligatory
Uuttenniittyinkosket	N_SAKSET	obligatory
Uuttulammit	N_LAMMIT	obligatory
Uuttuluodot	N_PIDOT	obligatory
uuvanat	N_MARKKINAT	obligatory
Vaadinnivat	N_VARAT	obligatory
Vaadinsaaret	N_SAARET	obligatory
Vaadit	N_TAUDIT	obligatory
vaahterakasvi	N_RUUVI	common
Vaaninkoskenkankaat	N_RENKAAT	obligatory
Vaarainsaaret	N_SAARET	obligatory
Vaaralammit	N_LAMMIT	obligatory
Vaaranalusjänkät	N_SÄRKÄT	obligatory
Vaaranaluslammit	N_LAMMIT	obligatory
Vaaranalusluodot	N_PIDOT	obligatory
Vaarankankaat	N_RENKAAT	obligatory
Vaaranmäet	N_MÄET	obligatory
Vaaranpellot	N_AALLOT	obligatory
Vaaranperät	N_KÄRÄJÄT	obligatory
Vaaranpäällyssuot	N_SUOT	obligatory
Vaaranpäänlammit	N_LAMMIT	obligatory
Vaaranpään Pikkulammit	N_LAMMIT	obligatory
Vaaransaaret	N_SAARET	obligatory
Vaarantakasenlammit	N_LAMMIT	obligatory
Vaarantauslammit	N_LAMMIT	obligatory
Vaarapahtaat	N_TEHTAAT	obligatory
Vaarapellot	N_AALLOT	obligatory
Vaarinkalliot	N_RAUNIOT	obligatory
Vaarsaaret	N_SAARET	obligatory
Vaarunvuoret	N_SAARET	obligatory
Vaassinsärkät	N_SÄRKÄT	obligatory
vaate	N_OSOITE	common
Vaatesaaret	N_SAARET	obligatory
Vaeluodononnet	N_ONNET	obligatory
Vahakarinkarit	N_LASIT	obligatory
Vahamaankalliot	N_RAUNIOT	obligatory
Vahankivet	N_SAKSET	obligatory
vahanokka	N_LUOKKA	common
Vahdinkarit	N_LASIT	obligatory
Vaheenpellot	N_AALLOT	obligatory
Vahingonkivet	N_SAKSET	obligatory
Vahteristonlammit	N_LAMMIT	obligatory
Vahtikuusikot	N_LUOLIKOT	obligatory
Vahtilammit	N_LAMMIT	obligatory
Vahtimiestensaaret	N_SAARET	obligatory
Vahtisaaret	N_SAARET	obligatory
Vahtsaaret	N_SAARET	obligatory
vaihdevuodet	N_VUODET	obligatory
Vaijoenjärvet	N_RIPSET	obligatory
Vaikkoharjut	N_HOUSUT	obligatory
Vainajanletot	N_ROITOT	obligatory
vaippahousut	N_HOUSUT	obligatory
Vaitsillankalliot	N_RAUNIOT	obligatory
Vaittauslammit	N_LAMMIT	obligatory
Vaivaisensuonsaarekkeet	N_KUULOKKEET	obligatory
vajaahampaiset	N_RAPPUSET	obligatory
Vakaskarit	N_LASIT	obligatory
Vakkasaaret	N_SAARET	obligatory
vakosamettihousut	N_HOUSUT	obligatory
Valasaaret	N_SAARET	obligatory
Valassaaret	N_SAARET	obligatory
valdolainen	N_AAKKOSTAMINEN	common
valekarettikilpikonnat	N_JUHLAT	obligatory
valeskorpioni	N_RUUVI	common
valeunikko	N_LEPAKKO	common
valevampyyri	N_KEHVELI	common
Valilammit	N_LAMMIT	obligatory
Valisenpellot	N_AALLOT	obligatory
Valitunnurmet	N_SAKSET	obligatory
valitusvirret	N_VIRRET	obligatory
valitut	N_NIITUT	obligatory
valjaat	N_VALJAAT	obligatory
Valkamanpellot	N_AALLOT	obligatory
Valkamonpellot	N_AALLOT	obligatory
Valkeaisenpäänsuot	N_SUOT	obligatory
Valkeaislammit	N_LAMMIT	obligatory
Valkeajärvenharjut	N_HOUSUT	obligatory
Valkeakosken Isku-Veikot	N_JOUKOT	obligatory
Valkeanjärvenkankaat	N_RENKAAT	obligatory
Valkeatlammit	N_LAMMIT	obligatory
Valkeavetiset	N_RAPPUSET	obligatory
Valkeisenkalliot	N_RAUNIOT	obligatory
Valkeisenkankaat	N_RENKAAT	obligatory
Valkeisensuot	N_SUOT	obligatory
Valkeisensärkät	N_SÄRKÄT	obligatory
Valkeiset	N_RAPPUSET	obligatory
Valkeiskalliot	N_RAUNIOT	obligatory
Valkeislammit	N_LAMMIT	obligatory
Valkiaiskurut	N_HOUSUT	obligatory
Valkiankalliot	N_RAUNIOT	obligatory
Valkiatlammit	N_LAMMIT	obligatory
Valkiatvedet	N_VUODET	obligatory
Valkjärvenharjut	N_HOUSUT	obligatory
Valkkojärvenlompolat	N_MARKKINAT	obligatory
Valkkojärvet	N_RIPSET	obligatory
valkohai	N_HAI	common
valkohäntäkauris	N_RUUMIS	common
Valkoisetlammit	N_LAMMIT	obligatory
valkokatkarapu	N_APU	common
valkokulmapingviini	N_KEHVELI	common
valkopyökki	N_HÄKKI	common
valkosipuliperunat	N_MARKKINAT	obligatory
Valkoslammit	N_LAMMIT	obligatory
Valkossärkät	N_SÄRKÄT	obligatory
valkut	N_FARKUT	obligatory
Vallamit	N_FARMARIT	obligatory
vallanmerkki	N_HÄKKI	common
Vallitunluodot	N_PIDOT	obligatory
valmistuskustannukset	N_SERKUKSET	obligatory
valoaallot	N_AALLOT	obligatory
valokala	N_KIRJA	common
valokuvausväline	N_PISTE	common
valourut	N_FARKUT	obligatory
valtimoverikaasu	N_ASU	common
Valtinkalliot	N_RAUNIOT	obligatory
Valtion alueellisen sivistyshallinnon virkamiehet	N_MIEHET	obligatory
Valtio-opin opiskelijat	N_MARKKINAT	obligatory
Valtio-opin seniorit	N_FARMARIT	obligatory
valtiopäivät	N_KÄRÄJÄT	obligatory
valtuus	N_AAKKOSELLISUUS	common
valuuttamarkkinat	N_MARKKINAT	obligatory
valvojaiset	N_RAPPUSET	obligatory
Vammanlamut	N_HOUSUT	obligatory
Vammantakalamut	N_HOUSUT	obligatory
vammautuneet	N_LIITTOUTUNEET	obligatory
vandat	N_VARAT	obligatory
vanginvaatteet	N_VAATTEET	obligatory
Vanhanahonsuot	N_SUOT	obligatory
Vanhankentänjärvet	N_RIPSET	obligatory
Vanhankydönkalliot	N_RAUNIOT	obligatory
Vanhankylänpellot	N_AALLOT	obligatory
Vanhanlahdenniityt	N_NIITYT	obligatory
Vanhanmajanpellot	N_AALLOT	obligatory
Vanhanmyllynmäet	N_MÄET	obligatory
