lemma	homonym	new_para	boundaries
aitoamaryllis	1	N_RÄJÄYTYS	aito{WB}amaryllis
aitobakteeri	1	N_KANAALI	aito{WB}bakteeri
aitoelämänlanka	1	N_LANKA	aito{WB}elämänlanka
aitohevosmuurahainen	1	N_AAKKOSTAMINEN	aito{WB}hevosmuurahainen
aitohunajakukka	1	N_LUOKKA	aitohunaja{WB}kukka
aitokana	1	N_KIRJA	aito{WB}kana
aitokissanminttu	1	N_TORTTU	aito{WB}kissanminttu
aitoperäinen	1	A_KYLMÄJÄRKINEN	aito{WB}peräinen
aitosammakko	1	N_LEPAKKO	aito{WB}sammakko
aitosammal	1	N_ASKAR	aito{WB}sammal
aitosieni	1	N_HIIRI	aito{WB}sieni
aitosudenkorento	1	N_TUNTO	aito{WB}sudenkorento
