lemma	new_paras	homonym
Ampatinpuhti	['N_RUUVI']	1
Ampatinpuhti	['N_TAUTI']	2
Amyntaio	['N_TALO']	1
Amyntaio	['N_TUOMIO']	2
Amýntaio	['N_TALO']	1
Amýntaio	['N_TUOMIO']	2
Ananias	['N_PATSAS']	1
Ananias	['N_VAKUUTUS']	2
andorralainen	['A_AAKKOSELLINEN']	1
andorralainen	['N_AAKKOSTAMINEN']	2
Andreas	['N_PATSAS']	1
Andreas	['N_VAKUUTUS']	2
Andres	['N_PUNK']	1
Andres	['N_VAKUUTUS']	2
Andrew	['N_PUNK']	1
Andrew	['N_SHOW']	2
Andros	['N_PUNK']	1
Andros	['N_VAKUUTUS']	2
Ándros	['N_PUNK']	1
Ándros	['N_VAKUUTUS']	2
aneroidi	['A_ABNORMI']	1
aneroidi	['N_RUUVI']	2
angelniemeläinen	['A_KYLMÄJÄRKINEN']	1
angelniemeläinen	['N_KYLKIÄINEN']	2
angika	['N_KIRJA']	1
angika	['N_KITARA']	2
angloamerikkalainen	['A_AAKKOSELLINEN']	1
angloamerikkalainen	['N_AAKKOSTAMINEN']	2
anglointialainen	['A_AAKKOSELLINEN']	1
anglointialainen	['N_AAKKOSTAMINEN']	2
anglokatolinen	['A_AAKKOSELLINEN']	1
anglokatolinen	['N_AAKKOSTAMINEN']	2
angolalainen	['A_AAKKOSELLINEN']	1
angolalainen	['N_AAKKOSTAMINEN']	2
anguillalainen	['A_AAKKOSELLINEN']	1
anguillalainen	['N_AAKKOSTAMINEN']	2
Angus	['N_PUNK']	1
Angus	['N_VAKUUTUS']	2
aniliininpunainen	['A_AAKKOSELLINEN']	1
aniliininpunainen	['N_AAKKOSTAMINEN']	2
anjalainen	['A_AAKKOSELLINEN']	1
anjalainen	['N_AAKKOSTAMINEN']	2
anjalalainen	['A_AAKKOSELLINEN']	1
anjalalainen	['N_AAKKOSTAMINEN']	2
Annecy	['N_KÄRRY']	1
Annecy	['N_SPOTIFY']	2
Annelie	['N_BRASSERIE']	1
Annelie	['N_ZOMBIE']	2
Anne-Marie	['N_BRASSERIE']	1
Anne-Marie	['N_ZOMBIE']	2
