lemma	homonym	new_para	particle
alituisesti	1	PCLE_NOPEASTI	adverb
alitusten	1	PCLE_NOPEASTI	adverb
alk.	1	PCLE_VAAN	abbreviation
alkaen	1	PCLE_NOPEASTI	adposition
alkajaisiksi	1	PCLE_NOPEASTI	adverb
alkeellisesti	1	PCLE_NOPEASTI	adverb
alkuaan	1	PCLE_NOPEASTI	adverb
alkuisin	1	PCLE_NOPEASTI	adverb
alkujaan	1	PCLE_NOPEASTI	adverb
alkukantaisesti	1	PCLE_NOPEASTI	adverb
alkuperäisesti	1	PCLE_TYHMÄSTI	adverb
alkupuolella	1	PCLE_KOTONA	adposition
alkupuolella	2	PCLE_KOTONA	adverb
alkuun	1	PCLE_NOPEASTI	adverb
alkuunkaan	1	PCLE_NOPEASTI	adverb
alkuvaiheessa	1	PCLE_KOTONA	adposition
alla	1	PCLE_KOTONA	adposition
alla	2	PCLE_KOTONA	adverb
allapäin	1	PCLE_TYHMÄSTI	adverb
alle	1	PCLE_ALLE	adposition
alle	2	PCLE_ALLE	adverb
allegorisesti	1	PCLE_NOPEASTI	adverb
allekkain	1	PCLE_NOPEASTI	adverb
alletusten	1	PCLE_NOPEASTI	adverb
aloha	1	PCLE_VAAN	unspecified
aloillaan	1	PCLE_ILKOSILLAAN	adverb
aloilleen	1	PCLE_ISTUALLEEN	adverb
aloittain	1	PCLE_NOPEASTI	adverb
alta	1	PCLE_KOTONA	adposition
alta	2	PCLE_KOTONA	adverb
altapäin	1	PCLE_TYHMÄSTI	adverb
altruistisesti	1	PCLE_NOPEASTI	adverb
alttiisti	1	PCLE_NOPEASTI	adverb
alueellisesti	1	PCLE_NOPEASTI	adverb
alueittain	1	PCLE_NOPEASTI	adverb
aluksi	1	PCLE_NOPEASTI	adverb
alulla	1	PCLE_NOPEASTI	adverb
alullaan	1	PCLE_ILKOSILLAAN	adverb
alumpana	1	PCLE_NOPEASTI	adverb|Comp
alun alkaen	1	PCLE_NOPEASTI	adverb
alun	1	PCLE_VAAN	adverb
alun perin	1	PCLE_VAAN	adverb
alun pitäen	1	PCLE_VAAN	adverb
alunperin	1	PCLE_NOPEASTI	adverb
alussa	1	PCLE_KOTONA	adposition
alusta	1	PCLE_NOPEASTI	adposition
alusta	2	PCLE_NOPEASTI	adverb
alustavasti	1	PCLE_NOPEASTI	adverb
alusvaatteisillaan	1	PCLE_ILKOSILLAAN	adverb
alusvaatteisilleen	1	PCLE_ISTUALLEEN	adverb
alv.	1	PCLE_VAAN	abbreviation
alvariinsa	1	PCLE_NOPEASTI	adverb
a.m.	1	PCLE_VAAN	abbreviation
amir.	1	PCLE_VAAN	abbreviation
ammateittain	1	PCLE_NOPEASTI	adverb
ammatillisesti	1	PCLE_NOPEASTI	adverb
ammattimaisesti	1	PCLE_NOPEASTI	adverb
ammoin	1	PCLE_NOPEASTI	adverb
ammolla	1	PCLE_KOTONA	adverb
ammollaan	1	PCLE_ILKOSILLAAN	adverb
ammolle	1	PCLE_ALLE	adverb
ammolleen	1	PCLE_ISTUALLEEN	adverb
ammuu	1	PCLE_HAH	interjection
anakronistisesti	1	PCLE_NOPEASTI	adverb
analgeettisesti	1	PCLE_NOPEASTI	adverb
analogisesti	1	PCLE_NOPEASTI	adverb
analyyttisesti	1	PCLE_TYHMÄSTI	adverb
anarkistisesti	1	PCLE_NOPEASTI	adverb
anatomisesti	1	PCLE_NOPEASTI	adverb
andrologisesti	1	PCLE_NOPEASTI	adverb
aneemisesti	1	PCLE_NOPEASTI	adverb
anestesiologisesti	1	PCLE_NOPEASTI	adverb
ani	1	PCLE_VAAN	unspecified
ankarasti	1	PCLE_NOPEASTI	adverb
ankeasti	1	PCLE_NOPEASTI	adverb
annoksittain	1	PCLE_NOPEASTI	adverb
anomaalisesti	1	PCLE_NOPEASTI	adverb
anon.	1	PCLE_VAAN	abbreviation
ansaitusti	1	PCLE_NOPEASTI	adverb
ansiokkaasti	1	PCLE_NOPEASTI	adverb
ansiosta	1	PCLE_KOTONA	adposition
ansiottomasti	1	PCLE_NOPEASTI	adverb
antaumuksellisesti	1	PCLE_NOPEASTI	adverb
anteeks	1	PCLE_VAAN	adverb
anteeksi	1	PCLE_VAAN	adverb
anteeksiantamattomasti	1	PCLE_NOPEASTI	adverb
anteliaasti	1	PCLE_NOPEASTI	adverb
antisemiittisesti	1	PCLE_TYHMÄSTI	adverb
antoisasti	1	PCLE_NOPEASTI	adverb
antropologisesti	1	PCLE_NOPEASTI	adverb
ao.	1	PCLE_VAAN	abbreviation
ap.	1	PCLE_VAAN	abbreviation
apaattisesti	1	PCLE_NOPEASTI	adverb
apeasti	1	PCLE_NOPEASTI	adverb
apeissaan	1	PCLE_ILKOSILLAAN	adverb
apokryfisesti	1	PCLE_TYHMÄSTI	adverb
apposen	1	PCLE_VAAN	unspecified
apriorisesti	1	PCLE_NOPEASTI	adverb
apropoo	1	PCLE_HAH	interjection
apul.	1	PCLE_VAAN	abbreviation
apul.prof.	1	PCLE_VAAN	abbreviation
arasti	1	PCLE_NOPEASTI	adverb
aristokraattisesti	1	PCLE_NOPEASTI	adverb
ark.	1	PCLE_VAAN	abbreviation
arkaistisesti	1	PCLE_NOPEASTI	adverb
